,maximum,minimum
ACSPHAC60_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.00012340372307880068,0.0
ACSPHAC60_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC60_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC60_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC60_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC70_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC70_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC70_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC70_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC70_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC70_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC80_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC80_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC80_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC80_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC80_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC80_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHAC90_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHAC90_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHAC90_REV_G1G01-840-MONOMER,0.0,0.0
ACSPHAC90_FWD_G1G01-840-MONOMER,0.0001245384510372832,0.0
ACSPHAC90_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHAC90_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACP100_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACP100_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHACP100_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACP100_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACP40_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACP40_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
ACSPHACP40_REV_G1G01-4858-MONOMER,0.0,0.0
ACSPHACP40_FWD_G1G01-4858-MONOMER,0.00012409798910408953,0.0
ACSPHACP50_REV_G1G01-4857-MONOMER_mod_mg2(1),0.0,0.0
ACSPHACP50_FWD_G1G01-4857-MONOMER_mod_mg2(1),0.0001234037230788007,0.0
