,Gene Name,Model,Experiment,ME
PP_1808,,,,1
PP_1842,,,,1
PP_1815,,,,0
PP_1823,,,,1
PP_1830,,,,0
PP_1844,,,,1
PP_1843,,,,1
PP_1872,,,,1
PP_1866,,,,1
PP_1867,,,,1
PP_1874,,,,1
PP_1902,,,,0
PP_1900,,,,0
PP_1893,,,,1
PP_1877,,,,1
PP_1905,,,,0
PP_1904,,,,1
PP_1913,,,,0
PP_1914,,,,0
PP_1912,,,,1
PP_1915,,,,0
PP_1917,,,,0
PP_1916,,,,1
PP_1924,,,,1
PP_1928,,,,1
PP_1943,,,,1
PP_1945,,,,1
PP_1948,,,,1
PP_1929,,,,1
PP_1969,,,,1
PP_1972,,,,1
PP_1977,,,,0
PP_1981,,,,1
PP_1996,,,,0
PP_1997,,,,0
PP_2012,,,,0
PP_2000,,,,0
PP_2001,,,,1
PP_2008,,,,1
PP_2039,,,,1
PP_2017,,,,1
PP_2047,,,,1
PP_2049,,,,1
PP_2048,,,,1
PP_2051,,,,1
PP_2057,,,,1
PP_2056,,,,1
PP_2077,,,,1
PP_2058,,,,1
PP_2080,,,,1
PP_2082,,,,1
PP_2090,,,,1
PP_2092,,,,1
PP_2096,,,,0
PP_2095,,,,0
PP_2102,,,,1
PP_2098,,,,1
PP_2106,,,,1
PP_2113,,,,0
PP_2112,,,,1
PP_2123,,,,0
PP_2117,,,,0
PP_2122,,,,1
PP_2125,,,,1
PP_2130,,,,1
PP_2148,,,,0
PP_2136,,,,1
PP_2137,,,,1
PP_2145,,,,1
PP_2149,,,,1
PP_2160,,,,0
PP_2151,,,,1
PP_2152,,,,1
PP_2178,,,,1
PP_2168,,,,1
PP_2169,,,,1
PP_2179,,,,1
PP_2183,,,,1
PP_2184,,,,1
PP_2180,,,,1
PP_2186,,,,1
PP_2185,,,,1
PP_2196,,,,1
PP_2193,,,,1
PP_2208,,,,1
PP_2209,,,,1
PP_2205,,,,1
PP_2213,,,,1
PP_2214,,,,1
PP_2215,,,,1
PP_2216,,,,1
PP_2217,,,,1
PP_2225,,,,1
PP_2226,,,,1
PP_2227,,,,1
PP_2239,,,,1
PP_2228,,,,1
PP_2229,,,,1
PP_2246,,,,1
PP_2230,,,,1
PP_2242,,,,1
PP_2255,,,,1
PP_2265,,,,1
PP_2315,,,,0
PP_2299,,,,0
PP_2329,,,,0
PP_2318,,,,1
PP_2325,,,,1
PP_2324,,,,1
PP_2336,,,,1
PP_2335,,,,1
PP_2334,,,,1
PP_2338,,,,1
PP_2341,,,,0
PP_2339,,,,1
PP_2368,,,,1
PP_2351,,,,1
PP_2376,,,,1
PP_2375,,,,1
PP_2406,,,,1
PP_2407,,,,1
PP_2408,,,,1
PP_2416,,,,1
PP_2409,,,,1
PP_2410,,,,1
PP_2417,,,,1
PP_2418,,,,1
PP_2423,,,,1
PP_2426,,,,1
PP_2428,,,,1
PP_2432,,,,1
PP_2435,,,,0
PP_2439,,,,1
PP_2437,,,,1
PP_2440,,,,1
PP_2443,,,,1
PP_2448,,,,1
PP_2453,,,,1
PP_2454,,,,1
PP_2455,,,,1
PP_2456,,,,1
PP_2460,,,,1
PP_2459,,,,1
PP_2458,,,,1
PP_2468,,,,0
PP_2465,,,,0
PP_2476,,,,1
PP_2469,,,,0
PP_2470,,,,0
PP_2482,,,,1
PP_2486,,,,1
PP_2489,,,,1
PP_2488,,,,1
PP_2490,,,,1
PP_2492,,,,1
PP_2504,,,,1
PP_2514,,,,1
PP_2512,,,,1
PP_2515,,,,1
PP_2513,,,,1
PP_2517,,,,1
PP_2518,,,,1
PP_2528,,,,1
PP_2554,,,,1
PP_2552,,,,1
PP_2543,,,,1
PP_2545,,,,1
PP_2553,,,,1
PP_2582,,,,1
PP_2556,,,,1
PP_2586,,,,1
PP_2591,,,,1
PP_2590,,,,1
PP_2589,,,,1
PP_2593,,,,1
PP_2592,,,,1
PP_2594,,,,1
PP_2635,,,,1
PP_2637,,,,1
PP_2636,,,,1
PP_2638,,,,1
PP_2645,,,,1
PP_2656,,,,1
PP_2647,,,,1
PP_2657,,,,1
PP_2658,,,,1
PP_2659,,,,1
PP_2668,,,,1
PP_2667,,,,1
PP_2669,,,,1
PP_2673,,,,1
PP_2674,,,,1
PP_2675,,,,1
PP_2676,,,,1
PP_2679,,,,1
PP_2680,,,,1
PP_2694,,,,1
PP_2703,,,,1
PP_2716,,,,1
PP_2698,,,,1
PP_2717,,,,1
PP_2764,,,,1
PP_2734,,,,1
PP_2765,,,,1
PP_2774,,,,1
PP_2791,,,,1
PP_2775,,,,1
PP_2793,,,,1
PP_2792,,,,1
PP_2794,,,,1
PP_2795,,,,1
PP_2796,,,,1
PP_2800,,,,1
PP_2797,,,,1
PP_2805,,,,1
PP_2801,,,,1
PP_2802,,,,1
PP_2834,,,,1
PP_2842,,,,1
PP_2843,,,,1
PP_2844,,,,1
PP_2845,,,,1
PP_2846,,,,1
PP_2847,,,,1
PP_2848,,,,1
PP_2862,,,,0
PP_2849,,,,1
PP_2902,,,,0
PP_2872,,,,1
PP_2887,,,,1
PP_2904,,,,0
PP_2905,,,,0
PP_2910,,,,1
PP_2909,,,,1
PP_2911,,,,1
PP_2916,,,,1
PP_2913,,,,1
PP_2914,,,,1
PP_2918,,,,1
PP_2925,,,,1
PP_2928,,,,1
PP_2929,,,,1
PP_2933,,,,1
PP_2943,,,,1
PP_2958,,,,1
PP_2998,,,,1
PP_2955,,,,1
PP_3002,,,,1
PP_2973,,,,1
PP_3071,,,,1
PP_3003,,,,1
PP_3073,,,,1
PP_3074,,,,1
PP_3099,,,,1
PP_3122,,,,1
PP_3080,,,,1
PP_3124,,,,1
PP_3123,,,,1
PP_3129,,,,1
PP_3136,,,,1
PP_3144,,,,1
PP_3146,,,,1
PP_3151,,,,1
PP_3147,,,,1
PP_3148,,,,1
PP_3161,,,,1
PP_3163,,,,1
PP_3162,,,,1
PP_3164,,,,1
PP_3166,,,,1
PP_3165,,,,1
PP_3168,,,,1
PP_3173,,,,1
PP_3178,,,,1
PP_3187,,,,1
PP_3189,,,,1
PP_3190,,,,1
PP_3253,,,,1
PP_3219,,,,1
PP_3198,,,,0
PP_3254,,,,0
PP_3270,,,,1
PP_3264,,,,1
PP_3272,,,,1
PP_3271,,,,1
PP_3276,,,,1
PP_3274,,,,1
PP_3277,,,,1
PP_3278,,,,1
PP_3280,,,,1
PP_3283,,,,1
PP_3282,,,,1
PP_3279,,,,1
PP_3285,,,,1
PP_3284,,,,1
PP_3311,,,,1
PP_3303,,,,1
PP_3322,,,,1
PP_3320,,,,1
PP_3324,,,,1
PP_3344,,,,1
PP_3342,,,,1
PP_3343,,,,1
PP_3345,,,,1
PP_3346,,,,1
PP_3357,,,,0
PP_3358,,,,1
PP_3365,,,,1
PP_3356,,,,1
PP_3376,,,,1
PP_3382,,,,1
PP_3377,,,,1
PP_3378,,,,1
PP_3383,,,,1
PP_3410,,,,0
PP_3384,,,,1
PP_3416,,,,1
PP_3417,,,,1
PP_3425,,,,1
PP_3426,,,,1
PP_3433,,,,1
PP_3427,,,,1
PP_3435,,,,1
PP_3443,,,,1
PP_3457,,,,0
PP_3446,,,,1
PP_3459,,,,1
PP_3460,,,,1
PP_3507,,,,0
PP_3461,,,,1
PP_3491,,,,1
PP_3511,,,,1
PP_3466,,,,1
PP_3514,,,,1
PP_3515,,,,1
PP_3530,,,,1
PP_3533,,,,1
PP_3537,,,,1
PP_3535,,,,1
PP_3540,,,,1
PP_3553,,,,1
PP_3570,,,,1
PP_3561,,,,1
PP_3578,,,,1
PP_3569,,,,1
PP_3581,,,,1
PP_3588,,,,1
PP_3590,,,,1
PP_3589,,,,1
PP_3591,,,,1
PP_3593,,,,1
PP_3594,,,,1
PP_3595,,,,1
PP_3596,,,,1
PP_3597,,,,1
PP_3598,,,,1
PP_3599,,,,1
PP_3600,,,,1
PP_3602,,,,1
PP_3601,,,,1
PP_3633,,,,1
PP_3606,,,,1
PP_3630,,,,1
PP_3635,,,,1
PP_3637,,,,1
PP_3636,,,,1
PP_3664,,,,1
PP_3648,,,,1
PP_3658,,,,1
PP_3667,,,,1
PP_3666,,,,1
PP_3720,,,,1
PP_3713,,,,1
PP_3668,,,,1
PP_3714,,,,1
PP_3715,,,,1
PP_3721,,,,1
